phone_id,phone_number,person_id,device_id,carrier,activation_date,status,synthetic_flag
PHONE-000001,+91-SYN-00000001,PERSON-001667,DEVICE-000001,SyntheticTel,2023-01-01,Active,true
PHONE-000002,+91-SYN-00000002,PERSON-001670,DEVICE-000002,SyntheticTel,2023-01-01,Active,true
PHONE-000003,+91-SYN-00000003,PERSON-001589,DEVICE-000003,SyntheticTel,2023-01-01,Inactive,true
PHONE-000004,+91-SYN-00000004,PERSON-000193,DEVICE-000004,SyntheticTel,2023-01-01,Inactive,true
PHONE-000005,+91-SYN-00000005,PERSON-000193,DEVICE-000005,SyntheticTel,2023-01-01,Inactive,true
PHONE-000006,+91-SYN-00000006,PERSON-000245,DEVICE-000006,SyntheticTel,2023-01-01,Active,true
PHONE-000007,+91-SYN-00000007,PERSON-001941,DEVICE-000007,SyntheticTel,2023-01-01,Inactive,true
PHONE-000008,+91-SYN-00000008,PERSON-001941,DEVICE-000008,SyntheticTel,2023-01-01,Active,true
PHONE-000009,+91-SYN-00000009,PERSON-002397,DEVICE-000009,SyntheticTel,2023-01-01,Active,true
PHONE-000010,+91-SYN-00000010,PERSON-001578,DEVICE-000010,SyntheticTel,2023-01-01,Active,true
PHONE-000011,+91-SYN-00000011,PERSON-002304,DEVICE-000011,SyntheticTel,2023-01-01,Active,true
PHONE-000012,+91-SYN-00000012,PERSON-001847,DEVICE-000012,SyntheticTel,2023-01-01,Inactive,true
PHONE-000013,+91-SYN-00000013,PERSON-000862,DEVICE-000013,SyntheticTel,2023-01-01,Active,true
PHONE-000014,+91-SYN-00000014,PERSON-000862,DEVICE-000014,SyntheticTel,2023-01-01,Active,true
PHONE-000015,+91-SYN-00000015,PERSON-001431,DEVICE-000015,SyntheticTel,2023-01-01,Active,true
PHONE-000016,+91-SYN-00000016,PERSON-001701,DEVICE-000016,SyntheticTel,2023-01-01,Active,true
PHONE-000017,+91-SYN-00000017,PERSON-002106,DEVICE-000017,SyntheticTel,2023-01-01,Active,true
PHONE-000018,+91-SYN-00000018,PERSON-001803,DEVICE-000018,SyntheticTel,2023-01-01,Inactive,true
