account_id,account_number,account_type,bank_name,holder_person_id,holder_organization_id,ifsc,status,case_id
ACC00001,43898083817721,Current,Evergreen Finance Bank,P00001,,HUBK0228767,Inactive,C0001
ACC00002,8291445091771,Current,Harbor Union Bank,P00002,,HUBK0315983,Active,C0001
ACC00003,51306212299252,Savings,Riverview Commercial Bank,P00005,,HUBK0057974,Active,C0001
ACC00004,5568797307004,Savings,Pioneer Urban Bank,P00006,,HUBK0746021,Active,C0002
ACC00005,70397298986740,Savings,Pioneer Urban Bank,P00007,,HUBK0464836,Active,C0002
ACC00006,87846018658299,Current,Cedar National Bank,P00009,,HUBK0307900,Active,C0002
ACC00007,3303429363879,Savings,Pioneer Urban Bank,P00011,,HUBK0332430,Active,C0002
ACC00008,853735268895117,Current,Cedar National Bank,P00013,,HUBK0251079,Active,C0002
ACC00009,248423769998,Current,Evergreen Finance Bank,P00014,,HUBK0382846,Active,C0002
ACC00010,931149750065,Current,Harbor Union Bank,P00017,,HUBK0872136,Active,C0002
ACC00011,978796927249,Savings,Riverview Commercial Bank,P00021,,HUBK0061209,Active,C0002
ACC00012,3514783189103,Savings,Summit Cooperative Bank,P00022,,HUBK0903037,Active,C0002
ACC00013,3964586577182,Savings,Cedar National Bank,P00023,,HUBK0568716,Active,C0002
ACC00014,715665938268352,Savings,Harbor Union Bank,P00026,,HUBK0453496,Active,C0002
ACC00015,9513487068846,Savings,Riverview Commercial Bank,P00027,,HUBK0278682,Active,C0002
ACC00016,66631040230658,Savings,Summit Cooperative Bank,P00028,,HUBK0454999,Active,C0002
ACC00017,51919097322351,Current,Pioneer Urban Bank,P00030,,HUBK0963827,Inactive,C0002
ACC00018,19375983457663,Current,Riverview Commercial Bank,P00031,,HUBK0278101,Active,C0002
ACC00019,5442885381536950,Current,Riverview Commercial Bank,P00032,,HUBK0806561,Active,C0002
ACC00020,8898242781391,Savings,Cedar National Bank,P00033,,HUBK0363772,Active,C0002
ACC00021,5877110633813674,Savings,Riverview Commercial Bank,P00034,,HUBK0935712,Active,C0003
ACC00022,518819894466,Savings,Harbor Union Bank,P00035,,HUBK0187112,Active,C0003
ACC00023,108878170215408,Savings,Cedar National Bank,P00036,,HUBK0027997,Active,C0003
ACC00024,489992249206590,Current,Summit Cooperative Bank,P00041,,HUBK0287017,Active,C0003
ACC00025,5718047627120,Savings,Cedar National Bank,P00045,,HUBK0347164,Active,C0003
ACC00026,94684359220809,Savings,Harbor Union Bank,P00048,,HUBK0143674,Active,C0003
ACC00027,4834889397141776,Savings,Riverview Commercial Bank,P00050,,HUBK0323505,Active,C0003
ACC00028,7050259295056,Savings,Pioneer Urban Bank,P00051,,HUBK0497772,Active,C0003
ACC00029,421343862913702,Current,Pioneer Urban Bank,P00052,,HUBK0424170,Active,C0003
ACC00030,350382330663,Current,Harbor Union Bank,P00056,,HUBK0590581,Active,C0003
ACC00031,5026411403779079,Current,Pioneer Urban Bank,P00057,,HUBK0076216,Active,C0003
ACC00032,802012743302531,Current,Evergreen Finance Bank,P00058,,HUBK0115383,Active,C0004
ACC00033,45968762010637,Savings,Summit Cooperative Bank,P00059,,HUBK0031317,Active,C0004
ACC00034,5494614105930,Current,Evergreen Finance Bank,P00060,,HUBK0869842,Active,C0004
ACC00035,5304720552573,Current,Pioneer Urban Bank,P00061,,HUBK0730275,Active,C0004
ACC00036,73502535425091,Current,Harbor Union Bank,P00062,,HUBK0007528,Active,C0004
ACC00037,5847310208019582,Current,Harbor Union Bank,P00064,,HUBK0493522,Active,C0004
ACC00038,468914113324,Savings,Cedar National Bank,P00065,,HUBK0376836,Active,C0004
ACC00039,249953376620,Current,Summit Cooperative Bank,P00068,,HUBK0106403,Active,C0004
ACC00040,7394342360558,Current,Harbor Union Bank,P00069,,HUBK0859249,Active,C0004
ACC00041,326098052502150,Savings,Riverview Commercial Bank,P00071,,HUBK0779561,Active,C0004
ACC00042,7195957377169,Current,Riverview Commercial Bank,P00074,,HUBK0757991,Active,C0004
ACC00043,306008173514,Savings,Riverview Commercial Bank,P00077,,HUBK0606643,Active,C0005
ACC00044,19858994039443,Savings,Harbor Union Bank,P00079,,HUBK0800691,Active,C0005
ACC00045,56372416955399,Current,Cedar National Bank,P00080,,HUBK0500630,Active,C0005
ACC00046,799677821620329,Savings,Cedar National Bank,P00081,,HUBK0236494,Active,C0006
ACC00047,679388189148,Current,Pioneer Urban Bank,P00083,,HUBK0542724,Active,C0006
ACC00048,88289572192,Current,Pioneer Urban Bank,P00084,,HUBK0333608,Active,C0006
ACC00049,88058337726073,Current,Summit Cooperative Bank,P00085,,HUBK0042146,Active,C0006
ACC00050,6777909892702,Current,Riverview Commercial Bank,P00086,,HUBK0720987,Active,C0006
ACC00051,665036608767153,Current,Cedar National Bank,P00087,,HUBK0648714,Active,C0006
ACC00052,126432672227,Savings,Pioneer Urban Bank,P00090,,HUBK0268029,Active,C0006
ACC00053,4059926119946624,Savings,Summit Cooperative Bank,P00092,,HUBK0575722,Active,C0006
ACC00054,56801924961793,Current,Cedar National Bank,P00094,,HUBK0828714,Active,C0006
ACC00055,317144622821,Savings,Harbor Union Bank,P00095,,HUBK0861048,Active,C0006
ACC00056,9982983145700,Current,Evergreen Finance Bank,P00097,,HUBK0677388,Active,C0006
ACC00057,20168348769120,Current,Pioneer Urban Bank,P00098,,HUBK0560138,Active,C0006
ACC00058,129744365389968,Current,Cedar National Bank,P00101,,HUBK0168299,Inactive,C0006
ACC00059,694983717879,Savings,Summit Cooperative Bank,P00103,,HUBK0634223,Active,C0006
ACC00060,67116318948913,Current,Pioneer Urban Bank,P00105,,HUBK0438824,Active,C0006
ACC00061,262019383296357,Current,Evergreen Finance Bank,P00106,,HUBK0820049,Active,C0006
ACC00062,103062060617,Current,Summit Cooperative Bank,P00107,,HUBK0395820,Active,C0006
ACC00063,781423020274,Current,Riverview Commercial Bank,P00109,,HUBK0081319,Active,C0006
ACC00064,395392494688,Current,Cedar National Bank,P00112,,HUBK0092342,Active,C0006
ACC00065,1389355882881022,Savings,Harbor Union Bank,P00114,,HUBK0556223,Active,C0007
ACC00066,63334984202744,Current,Riverview Commercial Bank,P00116,,HUBK0043640,Active,C0007
ACC00067,3396066088903454,Current,Evergreen Finance Bank,P00117,,HUBK0229568,Active,C0007
ACC00068,458481247328583,Savings,Riverview Commercial Bank,P00121,,HUBK0488796,Active,C0007
ACC00069,827468863899,Savings,Summit Cooperative Bank,P00123,,HUBK0840661,Active,C0007
ACC00070,323483054301,Savings,Harbor Union Bank,,O0004,HUBK0341892,Active,C0007
ACC00071,467927645802,Current,Cedar National Bank,P00020,,HUBK0520725,Active,C0008
ACC00072,989189290987,Current,Riverview Commercial Bank,P00125,,HUBK0448568,Active,C0008
ACC00073,868527291805068,Savings,Evergreen Finance Bank,P00127,,HUBK0546039,Active,C0008
ACC00074,6779786444979,Current,Cedar National Bank,P00128,,HUBK0072222,Inactive,C0008
ACC00075,687869250974370,Savings,Riverview Commercial Bank,P00129,,HUBK0140809,Active,C0008
ACC00076,8121317024009579,Current,Cedar National Bank,P00130,,HUBK0607684,Active,C0008
ACC00077,8414650327,Savings,Harbor Union Bank,P00133,,HUBK0620433,Active,C0008
ACC00078,20084313224626,Current,Riverview Commercial Bank,P00134,,HUBK0403896,Active,C0008
ACC00079,642588675023,Current,Evergreen Finance Bank,P00135,,HUBK0751264,Active,C0008
ACC00080,353185723631138,Savings,Pioneer Urban Bank,P00136,,HUBK0518063,Active,C0008
ACC00081,191317338400,Current,Riverview Commercial Bank,P00137,,HUBK0408481,Active,C0008
ACC00082,5500742940599463,Savings,Cedar National Bank,P00138,,HUBK0588363,Active,C0008
ACC00083,2871608733974565,Savings,Evergreen Finance Bank,P00139,,HUBK0637783,Active,C0008
ACC00084,920955275575469,Savings,Harbor Union Bank,P00140,,HUBK0665302,Inactive,C0008
ACC00085,2255883360526,Savings,Riverview Commercial Bank,,O0005,HUBK0428000,Active,C0008
ACC00086,54292472473183,Savings,Pioneer Urban Bank,P00150,,HUBK0658808,Active,C0010
ACC00087,1847609250243,Savings,Riverview Commercial Bank,P00153,,HUBK0923201,Active,C0010
ACC00088,7352962945679617,Current,Riverview Commercial Bank,P00154,,HUBK0216988,Active,C0010
ACC00089,51523541395733,Current,Pioneer Urban Bank,P00155,,HUBK0448388,Active,C0010
ACC00090,130744980738,Current,Riverview Commercial Bank,P00158,,HUBK0007043,Active,C0010
ACC00091,6989375977677,Savings,Cedar National Bank,P00159,,HUBK0686467,Active,C0010
ACC00092,9352747453465,Savings,Riverview Commercial Bank,P00160,,HUBK0223094,Active,C0010
ACC00093,754030861234,Current,Summit Cooperative Bank,P00161,,HUBK0379376,Active,C0011
ACC00094,8760045354724243,Current,Pioneer Urban Bank,P00162,,HUBK0320095,Active,C0011
ACC00095,64414407196535,Savings,Summit Cooperative Bank,P00167,,HUBK0637891,Active,C0011
ACC00096,2155002758344490,Savings,Pioneer Urban Bank,P00170,,HUBK0281202,Active,C0011
ACC00097,917131301517632,Current,Pioneer Urban Bank,P00177,,HUBK0397105,Active,C0011
