event_id,event_type,title,timestamp,location_id,case_id,description,evidence_id
EV00001,Delivery,Delivery involving Kavya Khan,2024-08-29T17:23:27,L0462,C0001,Delivery activity observed in connection with identity fraud investigation CASE-2026-0001.,nan
EV00002,Interview,Interview involving Karan Shah,2024-08-25T03:54:19,L0549,C0001,Interview activity observed in connection with identity fraud investigation CASE-2026-0001.,E05761
EV00003,Observation,Observation involving Ishita Iyer,2024-07-13T02:53:35,L0325,C0001,Observation activity observed in connection with identity fraud investigation CASE-2026-0001.,E05762
EV00004,Delivery,Delivery involving Manav Menon,2024-08-06T22:50:32,L0418,C0002,Delivery activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00005,Interview,Interview involving Mohit Saxena,2024-08-07T19:10:25,L0034,C0002,Interview activity observed in connection with organized fraud investigation CASE-2026-0002.,E05778
EV00006,Crime,Crime involving Mahi Mishra,2024-08-03T11:32:23,L0332,C0002,Crime activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00007,Observation,Observation involving Sana Nair,2024-08-12T23:52:43,L0510,C0002,Observation activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00008,Surveillance,Surveillance involving Vikram Desai,2024-08-04T16:17:37,L0449,C0002,Surveillance activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00009,Financial Activity,Financial Activity involving Rhea Shah,2024-08-11T04:53:10,L0510,C0002,Financial Activity activity observed in connection with organized fraud investigation CASE-2026-0002.,E05779
EV00010,Vehicle Movement,Vehicle Movement involving Raj Iyer,2024-08-09T14:55:17,L0510,C0002,Vehicle Movement activity observed in connection with organized fraud investigation CASE-2026-0002.,E05780
EV00011,Crime,Crime involving Shreya Shah,2024-08-28T18:11:10,L0510,C0002,Crime activity observed in connection with organized fraud investigation CASE-2026-0002.,E05781
EV00012,Observation,Observation involving Mahi Mishra,2024-08-25T06:01:33,L0510,C0002,Observation activity observed in connection with organized fraud investigation CASE-2026-0002.,E05782
EV00013,Transaction,Transaction involving Anushka Desai,2024-08-14T04:42:15,L0449,C0002,Transaction activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00014,Meeting,Meeting involving Aman Saxena,2024-08-11T17:08:55,L0510,C0002,Meeting activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00015,Crime,Crime involving Aarav Nair,2024-08-02T20:42:11,L0418,C0002,Crime activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00016,Delivery,Delivery involving Vikram Shetty,2024-08-08T05:19:27,L0034,C0002,Delivery activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00017,Arrest,Arrest involving Rahul Verma,2024-08-02T11:56:00,L0034,C0002,Arrest activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00018,Observation,Observation involving Yamini Menon,2024-08-19T22:57:12,L0449,C0002,Observation activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00019,Call,Call involving Manav Menon,2024-08-31T14:54:09,L0034,C0002,Call activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00020,Financial Activity,Financial Activity involving Aditi Jadhav,2024-08-02T09:32:35,L0332,C0002,Financial Activity activity observed in connection with organized fraud investigation CASE-2026-0002.,E05783
EV00021,Evidence Collection,Evidence Collection involving Karan Singh,2024-08-14T04:56:22,L0332,C0002,Evidence Collection activity observed in connection with organized fraud investigation CASE-2026-0002.,E05784
EV00022,Evidence Collection,Evidence Collection involving Mohit Saxena,2024-08-09T04:19:22,L0034,C0002,Evidence Collection activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00023,Delivery,Delivery involving Zoya Iyer,2024-08-31T23:09:36,L0332,C0002,Delivery activity observed in connection with organized fraud investigation CASE-2026-0002.,nan
EV00024,Surveillance,Surveillance involving Yamini Menon,2024-08-02T18:42:14,L0510,C0002,Surveillance activity observed in connection with organized fraud investigation CASE-2026-0002.,E05785
EV00025,Transaction,Transaction involving Aditya Patil,2024-02-05T15:55:44,L0487,C0003,Transaction activity observed in connection with organized fraud investigation CASE-2026-0003.,nan
EV00026,Delivery,Delivery involving Karan Mehta,2024-07-14T10:39:11,L0487,C0003,Delivery activity observed in connection with organized fraud investigation CASE-2026-0003.,nan
EV00027,Cyber Activity,Cyber Activity involving Kabir Shetty,2024-08-01T02:48:58,L0013,C0003,Cyber Activity activity observed in connection with organized fraud investigation CASE-2026-0003.,nan
EV00028,Surveillance,Surveillance involving Avni Desai,2024-04-24T13:06:05,L0447,C0003,Surveillance activity observed in connection with organized fraud investigation CASE-2026-0003.,E05792
EV00029,Financial Activity,Financial Activity involving Arnav Verma,2024-01-05T20:47:27,L0013,C0003,Financial Activity activity observed in connection with organized fraud investigation CASE-2026-0003.,nan
EV00030,Observation,Observation involving Simran Singh,2024-11-23T07:43:00,L0186,C0003,Observation activity observed in connection with organized fraud investigation CASE-2026-0003.,E05793
EV00031,Vehicle Movement,Vehicle Movement involving Sneha Reddy,2024-04-28T16:09:42,L0186,C0003,Vehicle Movement activity observed in connection with organized fraud investigation CASE-2026-0003.,E05794
EV00032,Delivery,Delivery involving Vivek Chavan,2024-01-22T08:45:42,L0013,C0003,Delivery activity observed in connection with organized fraud investigation CASE-2026-0003.,nan
EV00033,Meeting,Meeting involving Mohit Jadhav,2024-09-17T21:55:57,L0186,C0003,Meeting activity observed in connection with organized fraud investigation CASE-2026-0003.,nan
EV00034,Arrest,Arrest involving Aditya Patil,2024-01-04T02:19:55,L0013,C0003,Arrest activity observed in connection with organized fraud investigation CASE-2026-0003.,nan
EV00035,Delivery,Delivery involving Avni Desai,2024-01-28T20:00:55,L0487,C0003,Delivery activity observed in connection with organized fraud investigation CASE-2026-0003.,nan
EV00036,Surveillance,Surveillance involving Shreya Reddy,2024-06-11T16:08:29,L0013,C0003,Surveillance activity observed in connection with organized fraud investigation CASE-2026-0003.,nan
EV00037,Delivery,Delivery involving Shreya Reddy,2024-09-30T18:03:29,L0447,C0003,Delivery activity observed in connection with organized fraud investigation CASE-2026-0003.,nan
EV00038,Transaction,Transaction involving Ishaan Jadhav,2024-06-05T20:28:51,L0013,C0003,Transaction activity observed in connection with organized fraud investigation CASE-2026-0003.,E05795
EV00039,Transaction,Transaction involving Tanvi Bansal,2024-12-13T12:47:24,L0487,C0003,Transaction activity observed in connection with organized fraud investigation CASE-2026-0003.,E05796
EV00040,Financial Activity,Financial Activity involving Pooja Singh,2024-05-06T09:04:43,L0006,C0003,Financial Activity activity observed in connection with organized fraud investigation CASE-2026-0003.,E05797
EV00041,Delivery,Delivery involving Avni Desai,2024-02-09T01:07:11,L0487,C0003,Delivery activity observed in connection with organized fraud investigation CASE-2026-0003.,E05798
EV00042,Vehicle Movement,Vehicle Movement involving Diya Mishra,2024-11-01T00:44:33,L0540,C0004,Vehicle Movement activity observed in connection with banking fraud investigation CASE-2026-0004.,nan
EV00043,Interview,Interview involving Tanvi Das,2024-03-15T05:34:30,L0540,C0004,Interview activity observed in connection with banking fraud investigation CASE-2026-0004.,nan
EV00044,Interview,Interview involving Avni Thakur,2024-08-15T08:54:05,L0526,C0004,Interview activity observed in connection with banking fraud investigation CASE-2026-0004.,E05809
EV00045,Interview,Interview involving Tanvi Das,2024-05-11T08:55:16,L0023,C0004,Interview activity observed in connection with banking fraud investigation CASE-2026-0004.,nan
EV00046,Crime,Crime involving Mohit Khan,2024-09-24T11:44:29,L0526,C0004,Crime activity observed in connection with banking fraud investigation CASE-2026-0004.,nan
EV00047,Meeting,Meeting involving Varun Das,2024-01-11T05:33:36,L0018,C0004,Meeting activity observed in connection with banking fraud investigation CASE-2026-0004.,nan
