evidence_id,evidence_type,title,source,collection_date,file_reference,hash,status,case_id
E00001,Identity,Identity Record for Kavya Khan,Financial Records,2024-07-09,CASEFILE-E00001,SHA256_0003991DFEF7C290,Verified,C0001
E00002,Identity,Identity Record for Yash Patil,Telecom Records,2024-06-30,CASEFILE-E00002,SHA256_B88905956F1FB520,Review,C0001
E00003,Identity,Identity Record for Karan Shah,Field Collection,2024-06-12,CASEFILE-E00003,SHA256_FCA2CD35ED2465B6,Verified,C0001
E00004,Vehicle,Vehicle Record - Diya Desai,Case Records,2024-07-31,CASEFILE-E00004,SHA256_380C921B1B0FD826,Verified,C0001
E00005,Identity,Identity Record for Shreya Desai,Financial Records,2024-08-27,CASEFILE-E00005,SHA256_F1A9D464409DE92A,Verified,C0002
E00006,Identity,Identity Record for Pooja Sethi,Case Records,2024-08-14,CASEFILE-E00006,SHA256_D175B45669D55B99,Verified,C0002
E00007,OSINT,Alias Record for Pooja Sethi,Telecom Records,2024-08-29,CASEFILE-E00007,SHA256_00B4BF353E6BAA69,Verified,C0002
E00008,Identity,Identity Record for Manav Menon,Telecom Records,2024-08-31,CASEFILE-E00008,SHA256_99A7BB8B209D3E75,Verified,C0002
E00009,Identity,Identity Record for Manav Menon,Case Records,2024-08-20,CASEFILE-E00009,SHA256_63F88B13EF832DF7,Verified,C0002
E00010,Identity,Identity Record for Yamini Menon,Telecom Records,2024-08-27,CASEFILE-E00010,SHA256_8FCD8A2825F8B3A3,Verified,C0002
E00011,Identity,Identity Record for Rhea Shah,Telecom Records,2024-08-14,CASEFILE-E00011,SHA256_FBA45EBEFB0EAD67,Verified,C0002
E00012,Identity,Identity Record for Shreya Shah,Field Collection,2024-08-14,CASEFILE-E00012,SHA256_F7A3D6493E653B26,Verified,C0002
E00013,OSINT,Alias Record for Shreya Shah,Case Records,2024-08-21,CASEFILE-E00013,SHA256_6BC0BA421DFAD63C,Verified,C0002
E00014,Identity,Identity Record for Aman Saxena,Financial Records,2024-08-14,CASEFILE-E00014,SHA256_73BC66426F173325,Verified,C0002
E00015,Identity,Identity Record for Raj Iyer,Case Records,2024-08-25,CASEFILE-E00015,SHA256_A1AA34389B4AB2B5,Verified,C0002
E00016,Identity,Identity Record for Dev Menon,Field Collection,2024-08-18,CASEFILE-E00016,SHA256_13FDBBF48ABE3C3D,Verified,C0002
E00017,Identity,Identity Record for Vikram Shetty,Field Collection,2024-08-16,CASEFILE-E00017,SHA256_78292EFE6BBBD6B8,Review,C0002
E00018,Identity,Identity Record for Kabir Singh,Case Records,2024-08-14,CASEFILE-E00018,SHA256_CBBC547C256289ED,Verified,C0002
E00019,Identity,Identity Record for Avni Desai,Case Records,2024-04-19,CASEFILE-E00019,SHA256_5396375AAB7C6E24,Verified,C0003
E00020,Identity,Identity Record for Arjun Ghosh,Field Collection,2024-03-04,CASEFILE-E00020,SHA256_450617617AB2A235,Review,C0003
E00021,OSINT,Alias Record for Dev Shah,Case Records,2024-04-16,CASEFILE-E00021,SHA256_4E67C0D18C452327,Verified,C0003
E00022,Identity,Identity Record for Aditya Patil,Telecom Records,2024-10-14,CASEFILE-E00022,SHA256_3D655D30B3F4BBC2,Verified,C0003
E00023,Identity,Identity Record for Nikhil Kapoor,Case Records,2024-11-15,CASEFILE-E00023,SHA256_BC9DE93208C94B14,Verified,C0003
E00024,OSINT,Alias Record for Nikhil Kapoor,Case Records,2024-04-05,CASEFILE-E00024,SHA256_52CFF429EBD0FD6B,Verified,C0003
E00025,Identity,Identity Record for Yash Pillai,Field Collection,2024-03-11,CASEFILE-E00025,SHA256_028B618084BEA9E3,Verified,C0003
E00026,Identity,Identity Record for Pallavi Iyer,Field Collection,2024-03-21,CASEFILE-E00026,SHA256_7FF2FDA4B2913B3B,Verified,C0003
E00027,Identity,Identity Record for Sneha Reddy,Financial Records,2024-04-23,CASEFILE-E00027,SHA256_D211B5BF84261422,Verified,C0003
E00028,Identity,Identity Record for Simran Singh,Field Collection,2024-02-19,CASEFILE-E00028,SHA256_1ABDB7CEC141D5A6,Verified,C0003
E00029,Identity,Identity Record for Raj Chavan,Case Records,2024-11-22,CASEFILE-E00029,SHA256_E9DD28B4EF35D7A6,Verified,C0003
E00030,Identity,Identity Record for Mohit Jadhav,Field Collection,2024-08-14,CASEFILE-E00030,SHA256_FCF8256CFE9205E9,Review,C0003
E00031,Vehicle,Vehicle Record - Nikhil Kapoor,Case Records,2024-03-19,CASEFILE-E00031,SHA256_45D0574C907B5E5A,Verified,C0003
E00032,Vehicle,Vehicle Record - Siddharth Sethi,Field Collection,2024-04-18,CASEFILE-E00032,SHA256_5BAD0B5B5A2D0D1A,Review,C0003
E00033,OSINT,Alias Record for Dhruv Rao,Case Records,2024-08-25,CASEFILE-E00033,SHA256_17A8FE8FCEF62639,Review,C0004
E00034,Identity,Identity Record for Avni Thakur,Field Collection,2024-08-04,CASEFILE-E00034,SHA256_4F430E2FE66A069D,Review,C0004
E00035,Identity,Identity Record for Vidhi Kapoor,Telecom Records,2024-08-28,CASEFILE-E00035,SHA256_DC89A76CD0ED37DE,Verified,C0004
E00036,Identity,Identity Record for Diya Mishra,Telecom Records,2024-11-14,CASEFILE-E00036,SHA256_C1B3204B8963CD6C,Review,C0004
