finding_id,source_id,entity_id,entity_type,finding_type,content,timestamp,confidence,status,case_id
OF00001,OS0001,O0001,organization,Business Listing,OSINT record references business listing possibly linked to Ganga Constructions Pvt Ltd (O0001).,2024-07-20T13:18:41,0.84,Review,C0001
OF00002,OS0001,P00001,person,Digital Footprint,OSINT record suggests online presence associated with Kavya Khan (P00001).,2024-07-20T00:18:41,0.72,Disputed,C0001
OF00003,OS0002,P00013,person,Business Listing,OSINT record suggests online presence associated with Mohit Pillai (P00013).,2024-08-20T18:17:49,0.75,Review,C0002
OF00004,OS0003,P00006,person,Business Listing,OSINT record suggests online presence associated with Aarav Nair (P00006).,2024-08-16T04:59:00,0.52,Disputed,C0002
OF00005,OS0003,P00028,person,Business Listing,OSINT record suggests online presence associated with Zoya Iyer (P00028).,2024-08-16T18:59:00,0.78,Review,C0002
OF00006,OS0004,O0002,organization,Business Listing,OSINT record references business listing possibly linked to Blue Horizon Solutions Pvt Ltd (O0002).,2024-02-26T23:20:16,0.81,Review,C0003
OF00007,OS0004,O0002,organization,Public Mention,OSINT record references business listing possibly linked to Blue Horizon Solutions Pvt Ltd (O0002).,2024-02-26T23:20:16,0.75,Verified,C0003
OF00008,OS0004,P00057,person,Business Listing,OSINT record suggests online presence associated with Mohit Jadhav (P00057).,2024-02-27T21:20:16,0.63,Disputed,C0003
OF00009,OS0005,P00036,person,Digital Footprint,OSINT record suggests online presence associated with Arjun Ghosh (P00036).,2024-07-05T20:48:19,0.52,Verified,C0003
OF00010,OS0006,P00073,person,Social Identity,OSINT record suggests online presence associated with Tanvi Das (P00073).,2024-11-21T05:32:57,0.69,Review,C0004
OF00011,OS0006,P00067,person,Public Mention,OSINT record suggests online presence associated with Aditya Joshi (P00067).,2024-11-21T12:32:57,0.48,Review,C0004
OF00012,OS0007,P00068,person,Digital Footprint,OSINT record suggests online presence associated with Aarav Kapoor (P00068).,2024-09-28T18:58:52,0.71,Verified,C0004
OF00013,OS0007,P00069,person,Public Mention,OSINT record suggests online presence associated with Mohit Khan (P00069).,2024-09-30T07:58:52,0.6,Disputed,C0004
OF00014,OS0008,P00064,person,Business Listing,OSINT record suggests online presence associated with Rhea Singh (P00064).,2024-10-31T02:09:19,0.72,Disputed,C0004
OF00015,OS0008,P00069,person,Social Identity,OSINT record suggests online presence associated with Mohit Khan (P00069).,2024-10-30T16:09:19,0.47,Review,C0004
