phone_id,phone_number,phone_type,owner_person_id,service_provider,status,case_id
PH00001,+91-7128170403,Mobile,P00001,BSNL,Active,C0001
PH00002,+91-9976732456,Mobile,P00001,Airtel,Active,C0001
PH00003,+91-7077935837,Mobile,P00002,MetroWave Communications,Active,C0001
PH00004,+91-9733020749,Mobile,P00003,Airtel,Active,C0001
PH00005,+91-9870021022,Landline,P00004,Airtel,Active,C0001
PH00006,+91-9716895701,Mobile,P00005,Airtel,Active,C0001
PH00007,+91-7545536248,Mobile,P00008,BSNL,Active,C0002
PH00008,+91-9343873489,Mobile,P00009,Vi,Inactive,C0002
PH00009,+91-9533280672,Mobile,P00010,BSNL,Active,C0002
PH00010,+91-9506649881,Mobile,P00012,BSNL,Active,C0002
PH00011,+91-7773413348,Mobile,P00013,Jio,Active,C0002
PH00012,+91-7253872723,Mobile,P00014,Jio,Active,C0002
PH00013,+91-8754718257,Mobile,P00015,BSNL,Active,C0002
PH00014,+91-8492210173,Mobile,P00016,MetroWave Communications,Active,C0002
PH00015,+91-8869924649,Mobile,P00016,Airtel,Active,C0002
PH00016,+91-7373662501,Mobile,P00018,Jio,Active,C0002
PH00017,+91-7573230258,Mobile,P00019,Vi,Active,C0002
PH00018,+91-7079476957,Mobile,P00021,Airtel,Active,C0002
PH00019,+91-7067504970,Mobile,P00022,BSNL,Active,C0002
PH00020,+91-7076433036,Mobile,P00023,Vi,Active,C0002
PH00021,+91-9623801749,Landline,P00026,MetroWave Communications,Active,C0002
PH00022,+91-8881575026,Mobile,P00028,Vi,Inactive,C0002
PH00023,+91-8532189654,Mobile,P00031,Airtel,Active,C0002
PH00024,+91-7754491434,Mobile,P00032,Vi,Active,C0002
PH00025,+91-8184137444,Mobile,P00034,MetroWave Communications,Active,C0003
PH00026,+91-9328667063,Mobile,P00035,Airtel,Active,C0003
PH00027,+91-7265901778,Mobile,P00036,MetroWave Communications,Inactive,C0003
PH00028,+91-9942289215,Mobile,P00038,Vi,Active,C0003
PH00029,+91-7512532193,Mobile,P00039,Airtel,Active,C0003
PH00030,+91-7816970746,Mobile,P00039,BSNL,Inactive,C0003
PH00031,+91-7527771429,Mobile,P00040,Jio,Active,C0003
PH00032,+91-7804888221,Mobile,P00043,Airtel,Active,C0003
PH00033,+91-7956131987,Mobile,P00043,MetroWave Communications,Active,C0003
PH00034,+91-8200175657,Mobile,P00044,Airtel,Active,C0003
PH00035,+91-7035682176,Landline,P00045,Vi,Active,C0003
PH00036,+91-8581139406,Mobile,P00046,Airtel,Active,C0003
PH00037,+91-9597341198,Mobile,P00047,Airtel,Active,C0003
PH00038,+91-7560870241,Mobile,P00047,BSNL,Active,C0003
PH00039,+91-7554596286,Mobile,P00051,Vi,Active,C0003
PH00040,+91-7864625417,Mobile,P00053,Vi,Active,C0003
PH00041,+91-8597976352,Mobile,P00054,Airtel,Inactive,C0003
PH00042,+91-9160758385,Mobile,P00056,Vi,Active,C0003
PH00043,+91-9959550627,Mobile,P00057,Jio,Active,C0003
PH00044,+91-9322871865,Mobile,P00059,BSNL,Active,C0004
PH00045,+91-9942885135,Mobile,P00060,Vi,Active,C0004
PH00046,+91-7156446479,Landline,P00060,Vi,Active,C0004
PH00047,+91-7273811461,Landline,P00061,Airtel,Active,C0004
PH00048,+91-9557950902,Mobile,P00063,Vi,Active,C0004
PH00049,+91-7385005344,Mobile,P00065,Jio,Active,C0004
PH00050,+91-7439061200,Mobile,P00066,Vi,Active,C0004
PH00051,+91-9786661987,Mobile,P00068,MetroWave Communications,Active,C0004
PH00052,+91-8635280528,Mobile,P00069,MetroWave Communications,Active,C0004
PH00053,+91-8466212635,Mobile,P00070,Jio,Active,C0004
PH00054,+91-8703296627,Mobile,P00072,Airtel,Inactive,C0004
PH00055,+91-8462609776,Landline,P00073,Airtel,Active,C0004
PH00056,+91-9447319257,Mobile,P00075,Vi,Active,C0005
PH00057,+91-8140577393,Mobile,P00079,BSNL,Active,C0005
PH00058,+91-8811221734,Mobile,P00080,Airtel,Active,C0005
PH00059,+91-7510609321,Mobile,P00081,BSNL,Active,C0006
PH00060,+91-8897271268,Mobile,P00083,MetroWave Communications,Active,C0006
PH00061,+91-8332668904,Mobile,P00084,Airtel,Active,C0006
PH00062,+91-7431893979,Mobile,P00086,Jio,Active,C0006
PH00063,+91-9344963934,Mobile,P00087,MetroWave Communications,Active,C0006
PH00064,+91-9451353287,Mobile,P00088,Jio,Inactive,C0006
PH00065,+91-7717717202,Landline,P00089,Jio,Active,C0006
PH00066,+91-7039847402,Mobile,P00090,MetroWave Communications,Active,C0006
PH00067,+91-9063776916,Mobile,P00091,Airtel,Active,C0006
PH00068,+91-7573820346,Mobile,P00094,MetroWave Communications,Active,C0006
PH00069,+91-9023920936,Mobile,P00097,Vi,Inactive,C0006
PH00070,+91-8255635247,Mobile,P00098,BSNL,Active,C0006
PH00071,+91-9359017932,Mobile,P00099,Jio,Active,C0006
PH00072,+91-7214313289,Mobile,P00100,Jio,Active,C0006
PH00073,+91-7667826347,Mobile,P00101,Airtel,Inactive,C0006
PH00074,+91-8728253554,Mobile,P00102,MetroWave Communications,Active,C0006
PH00075,+91-9656462666,Mobile,P00103,BSNL,Active,C0006
PH00076,+91-7176425814,Mobile,P00104,Jio,Active,C0006
PH00077,+91-7221039992,Mobile,P00105,Vi,Active,C0006
PH00078,+91-7052458246,Mobile,P00106,Vi,Active,C0006
PH00079,+91-7508946830,Mobile,P00107,MetroWave Communications,Active,C0006
PH00080,+91-8026265248,Mobile,P00108,Vi,Active,C0006
PH00081,+91-7022145325,Mobile,P00111,Airtel,Active,C0006
PH00082,+91-7101866020,Mobile,P00112,BSNL,Active,C0006
PH00083,+91-8038030801,Mobile,P00112,Vi,Active,C0006
PH00084,+91-7608802541,Mobile,P00113,BSNL,Inactive,C0007
PH00085,+91-7062080974,Mobile,P00113,BSNL,Active,C0007
PH00086,+91-8923699440,Landline,P00116,Vi,Active,C0007
PH00087,+91-9218531227,Mobile,P00117,MetroWave Communications,Active,C0007
PH00088,+91-9682853759,Mobile,P00118,BSNL,Active,C0007
PH00089,+91-8045924400,Mobile,P00118,BSNL,Active,C0007
PH00090,+91-8298962920,Mobile,P00119,Airtel,Active,C0007
